hash-monomers,hash-monomers-replicate_structure,smiles_monomer,monomers,distribution,replicate_structure,smiles_polymer,mechanism
KKDNkbTc3pGagssKaf6AyA,SmFaQ4ZJwAjkfjT6Z7LKX6,O=C(O)[C@H]1CC[C@H](C(=O)O)CC1.OCCCO,"('O=C(O)[C@H]1CC[C@H](C(=O)O)CC1', 'OCCCO')",[],0,O=C(O)[C@H]1CC[C@H](C(=O)OCCCOC(=O)[C@H]2CC[C@H](C(=O)OCCCOC(=O)[C@H]3CC[C@H](C(=O)OCCCOC(=O)[C@H]4CC[C@H](C(=O)OCCCO)CC4)CC3)CC2)CC1,ester
KKDNkbTc3pGagssKaf6AyA,VwdSEccW2jXC3pESq29dg9,O=C(O)[C@H]1CC[C@H](C(=O)O)CC1.OCCCO,"('O=C(O)[C@H]1CC[C@H](C(=O)O)CC1', 'OCCCO')",[],1,O=C(O)[C@H]1CC[C@H](C(=O)OCCCOC(=O)[C@H]2CC[C@H](C(=O)OCCCOC(=O)[C@H]3CC[C@H](C(=O)OCCCOC(=O)[C@H]4CC[C@H](C(=O)OCCCO)CC4)CC3)CC2)CC1,ester
dW89hYf6pKQSR2YSxxvVtA,9tKEJ8H4ZHgyg8kYLcnbMm,CC(C)(c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1)c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1.Nc1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,"('CC(C)(c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1)c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1', 'Nc1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1')",[],0,CC(C)(c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1)c1ccc(Oc2ccc(C(=O)Nc3ccc(-c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc(-c9ccc(NC(=O)c%10cc(Oc%11ccc(C(C)(C)c%12ccc(Oc%13ccc(C(=O)Nc%14ccc(-c%15ccc(Oc%16ccc(C%17(c%18ccc(Oc%19ccc(-c%20ccc(N)cc%20)cc%19C(F)(F)F)cc%18)c%18ccccc%18C(=O)N%17c%17ccccc%17)cc%16)c(C(F)(F)F)c%15)cc%14)c(C(=O)O)c%13)cc%12)cc%11)ccc%10C(=O)Nc%10ccc(-c%11ccc(Oc%12ccc(C%13(c%14ccc(Oc%15ccc(-c%16ccc(NC(=O)c%17cc(Oc%18ccc(C(C)(C)c%19ccc(Oc%20ccc(C(=O)O)c(C(=O)Nc%21ccc(-c%22ccc(Oc%23ccc(C%24(c%25ccc(Oc%26ccc(-c%27ccc(N)cc%27)cc%26C(F)(F)F)cc%25)c%25ccccc%25C(=O)N%24c%24ccccc%24)cc%23)c(C(F)(F)F)c%22)cc%21)c%20)cc%19)cc%18)ccc%17C(=O)Nc%17ccc(-c%18ccc(Oc%19ccc(C%20(c%21ccc(Oc%22ccc(-c%23ccc(N)cc%23)cc%22C(F)(F)F)cc%21)c%21ccccc%21C(=O)N%20c%20ccccc%20)cc%19)c(C(F)(F)F)c%18)cc%17)cc%16)cc%15C(F)(F)F)cc%14)c%14ccccc%14C(=O)N%13c%13ccccc%13)cc%12)c(C(F)(F)F)c%11)cc%10)cc9)cc8C(F)(F)F)cc7)c7ccccc7C(=O)N6c6ccccc6)cc5)c(C(F)(F)F)c4)cc3)c(C(=O)O)c2)cc1,amide
dW89hYf6pKQSR2YSxxvVtA,A6HWz8fqEDmmpJsCmwtjKW,CC(C)(c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1)c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1.Nc1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,"('CC(C)(c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1)c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1', 'Nc1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1')",[],1,CC(C)(c1ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)cc1)c1ccc(Oc2ccc(C(=O)O)c(C(=O)Nc3ccc(-c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc(-c9ccc(NC(=O)c%10ccc(Oc%11ccc(C(C)(C)c%12ccc(Oc%13ccc(C(=O)Nc%14ccc(-c%15ccc(Oc%16ccc(C%17(c%18ccc(Oc%19ccc(-c%20ccc(N)cc%20)cc%19C(F)(F)F)cc%18)c%18ccccc%18C(=O)N%17c%17ccccc%17)cc%16)c(C(F)(F)F)c%15)cc%14)c(C(=O)O)c%13)cc%12)cc%11)cc%10C(=O)Nc%10ccc(-c%11ccc(Oc%12ccc(C%13(c%14ccc(Oc%15ccc(-c%16ccc(NC(=O)c%17ccc(Oc%18ccc(C(C)(C)c%19ccc(Oc%20ccc(C(=O)Nc%21ccc(-c%22ccc(Oc%23ccc(C%24(c%25ccc(Oc%26ccc(-c%27ccc(N)cc%27)cc%26C(F)(F)F)cc%25)c%25ccccc%25C(=O)N%24c%24ccccc%24)cc%23)c(C(F)(F)F)c%22)cc%21)c(C(=O)Nc%21ccc(-c%22ccc(Oc%23ccc(C%24(c%25ccc(Oc%26ccc(-c%27ccc(N)cc%27)cc%26C(F)(F)F)cc%25)c%25ccccc%25C(=O)N%24c%24ccccc%24)cc%23)c(C(F)(F)F)c%22)cc%21)c%20)cc%19)cc%18)cc%17C(=O)O)cc%16)cc%15C(F)(F)F)cc%14)c%14ccccc%14C(=O)N%13c%13ccccc%13)cc%12)c(C(F)(F)F)c%11)cc%10)cc9)cc8C(F)(F)F)cc7)c7ccccc7C(=O)N6c6ccccc6)cc5)c(C(F)(F)F)c4)cc3)c2)cc1,amide
RRQqgG3tDiMvSrJJktMZ8B,Z8eQesxEjUYhqgXWfzpAf2,NCCCCCCCCCCCCCN.O=C(O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)O,"('NCCCCCCCCCCCCCN', 'O=C(O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)O')",[],0,NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)O,amide
RRQqgG3tDiMvSrJJktMZ8B,fqunEUZzm4m9RRrJ2okpga,NCCCCCCCCCCCCCN.O=C(O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)O,"('NCCCCCCCCCCCCCN', 'O=C(O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)O')",[],1,NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)NCCCCCCCCCCCCCNC(=O)CCCCCCCCCCSCCCCSCCCCCCCCCCC(=O)O,amide
GsvMUNreeyhpctvXgW6pAd,m6jDEnLvVWr9iwQVoZKUpm,O=C(O)c1ccc(C(=O)O)cc1.OCCCO,"('O=C(O)c1ccc(C(=O)O)cc1', 'OCCCO')",[],0,O=C(O)c1ccc(C(=O)OCCCOC(=O)c2ccc(C(=O)OCCCOC(=O)c3ccc(C(=O)OCCCOC(=O)c4ccc(C(=O)OCCCO)cc4)cc3)cc2)cc1,ester
GsvMUNreeyhpctvXgW6pAd,ennPxDNdaYMvXiGG9unWgw,O=C(O)c1ccc(C(=O)O)cc1.OCCCO,"('O=C(O)c1ccc(C(=O)O)cc1', 'OCCCO')",[],1,O=C(O)c1ccc(C(=O)OCCCOC(=O)c2ccc(C(=O)OCCCOC(=O)c3ccc(C(=O)OCCCOC(=O)c4ccc(C(=O)OCCCO)cc4)cc3)cc2)cc1,ester
KYczw4BHESuCcfdi6SM87v,ceLkd3iw4WXiNR2v7N2w3P,O=C(O)CCc1ccc(OCCO)cc1,"('O=C(O)CCc1ccc(OCCO)cc1',)",[],0,O=C(O)CCc1ccc(OCCOC(=O)CCc2ccc(OCCOC(=O)CCc3ccc(OCCOC(=O)CCc4ccc(OCCOC(=O)CCc5ccc(OCCOC(=O)CCc6ccc(OCCOC(=O)CCc7ccc(OCCOC(=O)CCc8ccc(OCCO)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,ester
KYczw4BHESuCcfdi6SM87v,e3t9v2FXNzk7hz6PC2BUtn,O=C(O)CCc1ccc(OCCO)cc1,"('O=C(O)CCc1ccc(OCCO)cc1',)",[],1,O=C(O)CCc1ccc(OCCOC(=O)CCc2ccc(OCCOC(=O)CCc3ccc(OCCOC(=O)CCc4ccc(OCCOC(=O)CCc5ccc(OCCOC(=O)CCc6ccc(OCCOC(=O)CCc7ccc(OCCOC(=O)CCc8ccc(OCCO)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,ester
JL7V8djz3Wxg9ZhDhoSHNe,oCHXZfUdxYXuGR6GvcLAJd,CC(O)CC(=O)O.CCCCC(O)CC(=O)O,"('CC(O)CC(=O)O', 'CCCCC(O)CC(=O)O')",[],0,CCCCC(O)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)O,ester
JL7V8djz3Wxg9ZhDhoSHNe,UhDpvi3GRujCpdwB8e9QN8,CC(O)CC(=O)O.CCCCC(O)CC(=O)O,"('CC(O)CC(=O)O', 'CCCCC(O)CC(=O)O')",[],1,CCCCC(O)CC(=O)OC(CCCC)CC(=O)OC(C)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(C)CC(=O)OC(C)CC(=O)O,ester
Uz8UTTrgHuHYL8RyTJQf7Q,i3cHXcDcHxhEJpAw4mqnvv,O=C(O)CCCCCC(=O)O.OCCO,"('O=C(O)CCCCCC(=O)O', 'OCCO')",[],0,O=C(O)CCCCCC(=O)OCCOC(=O)CCCCCC(=O)OCCOC(=O)CCCCCC(=O)OCCOC(=O)CCCCCC(=O)OCCO,ester
Uz8UTTrgHuHYL8RyTJQf7Q,UHJsUzXnYraurwDsPfErfu,O=C(O)CCCCCC(=O)O.OCCO,"('O=C(O)CCCCCC(=O)O', 'OCCO')",[],1,O=C(O)CCCCCC(=O)OCCOC(=O)CCCCCC(=O)OCCOC(=O)CCCCCC(=O)OCCOC(=O)CCCCCC(=O)OCCO,ester
GWh3MFcnth3eHHtzkduAir,bcNypeicAkmPXtNN8kWZnx,CCCCC(O)CC(=O)O,"('CCCCC(O)CC(=O)O',)",[],0,CCCCC(O)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)O,ester
GWh3MFcnth3eHHtzkduAir,QJ7bfPWTsc77LybdVUjYyi,CCCCC(O)CC(=O)O,"('CCCCC(O)CC(=O)O',)",[],1,CCCCC(O)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)OC(CCCC)CC(=O)O,ester
EQ9k3nFzU4BUh3oydWsBUp,4EGjgoZkn4APtzPvrnbZup,CC(C(=O)O)C(=O)O.OCCOCCO,"('CC(C(=O)O)C(=O)O', 'OCCOCCO')",[],0,CC(C(=O)O)C(=O)OCCOCCOC(=O)C(C)C(=O)OCCOCCOC(=O)C(C)C(=O)OCCOCCOC(=O)C(C)C(=O)OCCOCCO,ester
EQ9k3nFzU4BUh3oydWsBUp,GZ98remcBm8Gxobs2cZNZs,CC(C(=O)O)C(=O)O.OCCOCCO,"('CC(C(=O)O)C(=O)O', 'OCCOCCO')",[],1,CC(C(=O)O)C(=O)OCCOCCOC(=O)C(C)C(=O)OCCOCCOC(=O)C(C)C(=O)OCCOCCOC(=O)C(C)C(=O)OCCOCCO,ester
LzfZoEafedSWZenzKRFEJg,jf42XwK8Wg5zNyPyisAoo2,Nc1ccc(Oc2ccccc2-c2ccccc2Oc2ccc(N)cc2)cc1.O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)cc3)cc1)C2=O,"('Nc1ccc(Oc2ccccc2-c2ccccc2Oc2ccc(N)cc2)cc1', 'O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)cc3)cc1)C2=O')",[],0,Nc1ccc(Oc2ccccc2-c2ccccc2Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(N6C(=O)c7ccc(C(=O)Nc8ccc(Oc9ccccc9-c9ccccc9Oc9ccc(NC(=O)c%10ccc%11c(c%10)C(=O)N(c%10ccc(Cc%12ccc(N%13C(=O)c%14ccc(C(=O)Nc%15ccc(Oc%16ccccc%16-c%16ccccc%16Oc%16ccc(NC(=O)c%17ccc%18c(c%17)C(=O)N(c%17ccc(Cc%19ccc(N%20C(=O)c%21ccc(C(=O)Nc%22ccc(Oc%23ccccc%23-c%23ccccc%23Oc%23ccc(NC(=O)c%24ccc%25c(c%24)C(=O)N(c%24ccc(Cc%26ccc(N%27C(=O)c%28ccc(C(=O)O)cc%28C%27=O)cc%26)cc%24)C%25=O)cc%23)cc%22)cc%21C%20=O)cc%19)cc%17)C%18=O)cc%16)cc%15)cc%14C%13=O)cc%12)cc%10)C%11=O)cc9)cc8)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,amide
