hash-monomers,hash-monomers-replicate_structure,smiles_monomer,monomers,distribution,replicate_structure,smiles_polymer,mechanism
KTMRo4rnwuxkaYBeBBwikU,8BeVeAaecM26mJCpTjTELx,CC1(C)CC(C)(c2ccc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)cc2)c2cc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)ccc21.O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,"('CC1(C)CC(C)(c2ccc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)cc2)c2cc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)ccc21', 'O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O')",[],0,CC1(C)CC(C)(c2ccc(Oc3ccc(-c4ccc(NC(=O)c5cc(C(=O)Nc6ccc(-c7ccc(Oc8ccc9c(c8)C(C)(c8ccc(Oc%10ccc(-c%11ccc(NC(=O)c%12cc(C(=O)O)c(C(=O)Nc%13ccc(-c%14ccc(Oc%15ccc%16c(c%15)C(C)(c%15ccc(Oc%17ccc(-c%18ccc(NC(=O)c%19cc(C(=O)O)c(C(=O)O)cc%19C(=O)O)cc%18)cc%17C(F)(F)F)cc%15)CC%16(C)C)c(C(F)(F)F)c%14)cc%13)cc%12C(=O)O)cc%11)cc%10C(F)(F)F)cc8)CC9(C)C)c(C(F)(F)F)c7)cc6)c(C(=O)Nc6ccc(-c7ccc(Oc8ccc(C9(C)CC(C)(C)c%10ccc(Oc%11ccc(-c%12ccc(NC(=O)c%13cc(C(=O)O)c(C(=O)O)cc%13C(=O)O)cc%12)cc%11C(F)(F)F)cc%109)cc8)c(C(F)(F)F)c7)cc6)cc5C(=O)O)cc4)cc3C(F)(F)F)cc2)c2cc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)ccc21,amide
KTMRo4rnwuxkaYBeBBwikU,ZHUvaQuU3tus4LvjQoXqDY,CC1(C)CC(C)(c2ccc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)cc2)c2cc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)ccc21.O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,"('CC1(C)CC(C)(c2ccc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)cc2)c2cc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)ccc21', 'O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O')",[],1,CC1(C)CC(C)(c2ccc(Oc3ccc(-c4ccc(NC(=O)c5cc(C(=O)Nc6ccc(-c7ccc(Oc8ccc9c(c8)C(C)(c8ccc(Oc%10ccc(-c%11ccc(NC(=O)c%12cc(C(=O)O)c(C(=O)O)cc%12C(=O)O)cc%11)cc%10C(F)(F)F)cc8)CC9(C)C)c(C(F)(F)F)c7)cc6)c(C(=O)Nc6ccc(-c7ccc(Oc8ccc(C9(C)CC(C)(C)c%10ccc(Oc%11ccc(-c%12ccc(NC(=O)c%13cc(C(=O)O)c(C(=O)O)cc%13C(=O)O)cc%12)cc%11C(F)(F)F)cc%109)cc8)c(C(F)(F)F)c7)cc6)cc5C(=O)Nc5ccc(-c6ccc(Oc7ccc(C8(C)CC(C)(C)c9ccc(Oc%10ccc(-c%11ccc(NC(=O)c%12cc(C(=O)O)c(C(=O)O)cc%12C(=O)O)cc%11)cc%10C(F)(F)F)cc98)cc7)c(C(F)(F)F)c6)cc5)cc4)cc3C(F)(F)F)cc2)c2cc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)ccc21,amide
7eLJFKCkkELP6GUvN2o9HX,2QDcWhLHewjMGEZwQyfZXY,C[Si](C)(c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1)c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1.Nc1ccc(-c2sc(-c3ccc(N)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,"('C[Si](C)(c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1)c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1', 'Nc1ccc(-c2sc(-c3ccc(N)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1')",[],0,C[Si](C)(c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1)c1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(-c4sc(-c5ccc(NC(=O)c6ccc(NC(=O)c7ccc([Si](C)(C)c8ccc(C(=O)Nc9ccc(C(=O)Nc%10ccc(-c%11sc(-c%12ccc(NC(=O)c%13ccc(NC(=O)c%14ccc([Si](C)(C)c%15ccc(C(=O)Nc%16ccc(C(=O)Nc%17ccc(-c%18sc(-c%19ccc(NC(=O)c%20ccc(NC(=O)c%21ccc([Si](C)(C)c%22ccc(C(=O)Nc%23ccc(C(=O)Nc%24ccc(-c%25sc(-c%26ccc(N)cc%26)c(-c%26ccccc%26)c%25-c%25ccccc%25)cc%24)cc%23)cc%22)cc%21)cc%20)cc%19)c(-c%19ccccc%19)c%18-c%18ccccc%18)cc%17)cc%16)cc%15)cc%14)cc%13)cc%12)c(-c%12ccccc%12)c%11-c%11ccccc%11)cc%10)cc9)cc8)cc7)cc6)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)cc2)cc1,amide
7eLJFKCkkELP6GUvN2o9HX,hcivJX2BDdsY4iTGhzWHE3,C[Si](C)(c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1)c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1.Nc1ccc(-c2sc(-c3ccc(N)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,"('C[Si](C)(c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1)c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1', 'Nc1ccc(-c2sc(-c3ccc(N)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1')",[],1,C[Si](C)(c1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1)c1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(-c4sc(-c5ccc(NC(=O)c6ccc(NC(=O)c7ccc([Si](C)(C)c8ccc(C(=O)Nc9ccc(C(=O)Nc%10ccc(-c%11sc(-c%12ccc(NC(=O)c%13ccc(NC(=O)c%14ccc([Si](C)(C)c%15ccc(C(=O)Nc%16ccc(C(=O)Nc%17ccc(-c%18sc(-c%19ccc(NC(=O)c%20ccc(NC(=O)c%21ccc([Si](C)(C)c%22ccc(C(=O)Nc%23ccc(C(=O)Nc%24ccc(-c%25sc(-c%26ccc(N)cc%26)c(-c%26ccccc%26)c%25-c%25ccccc%25)cc%24)cc%23)cc%22)cc%21)cc%20)cc%19)c(-c%19ccccc%19)c%18-c%18ccccc%18)cc%17)cc%16)cc%15)cc%14)cc%13)cc%12)c(-c%12ccccc%12)c%11-c%11ccccc%11)cc%10)cc9)cc8)cc7)cc6)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)cc2)cc1,amide
eg7sjgiCD3XRH8k6mJQQQv,Q65hS9Yjrto3Rtq9q9FWEt,O=C(O)CCCCC(=O)O.OCCCCCCCCCCCCO,"('O=C(O)CCCCC(=O)O', 'OCCCCCCCCCCCCO')",[],0,O=C(O)CCCCC(=O)OCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCO,ester
eg7sjgiCD3XRH8k6mJQQQv,A2S9hp7TF2TPPBK7xx4CdF,O=C(O)CCCCC(=O)O.OCCCCCCCCCCCCO,"('O=C(O)CCCCC(=O)O', 'OCCCCCCCCCCCCO')",[],1,O=C(O)CCCCC(=O)OCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCO,ester
2UMxBnQ4GZDNX8uyyv8NWB,Htp8aKAtRy7PsLk3rnw3ZG,COc1cc(/C=C2/CCC/C(=C\c3ccc(OCCCO)c(OC)c3)C2=O)ccc1OCCCO.O=C(Cl)CCCCC(=O)Cl,"('COc1cc(/C=C2/CCC/C(=C\\c3ccc(OCCCO)c(OC)c3)C2=O)ccc1OCCCO', 'O=C(Cl)CCCCC(=O)Cl')",[],0,COc1cc(/C=C2\CCC/C(=C/c3ccc(OCCCOC(=O)CCCCC(=O)OCCCOc4ccc(/C=C5/CCC/C(=C\c6ccc(OCCCOC(=O)CCCCC(=O)OCCCOc7ccc(/C=C8\CCC/C(=C/c9ccc(OCCCOC(=O)CCCCC(=O)OCCCOc%10ccc(/C=C%11\CCC/C(=C/c%12ccc(OCCCOC(=O)CCCCC(=O)Cl)c(OC)c%12)C%11=O)cc%10OC)c(OC)c9)C8=O)cc7OC)c(OC)c6)C5=O)cc4OC)c(OC)c3)C2=O)ccc1OCCCO,ester
2UMxBnQ4GZDNX8uyyv8NWB,3JJfKFDVGfHnZviPNhLn4T,COc1cc(/C=C2/CCC/C(=C\c3ccc(OCCCO)c(OC)c3)C2=O)ccc1OCCCO.O=C(Cl)CCCCC(=O)Cl,"('COc1cc(/C=C2/CCC/C(=C\\c3ccc(OCCCO)c(OC)c3)C2=O)ccc1OCCCO', 'O=C(Cl)CCCCC(=O)Cl')",[],1,COc1cc(/C=C2\CCC/C(=C/c3ccc(OCCCOC(=O)CCCCC(=O)OCCCOc4ccc(/C=C5\CCC/C(=C/c6ccc(OCCCOC(=O)CCCCC(=O)OCCCOc7ccc(/C=C8/CCC/C(=C\c9ccc(OCCCOC(=O)CCCCC(=O)OCCCOc%10ccc(/C=C%11/CCC/C(=C\c%12ccc(OCCCOC(=O)CCCCC(=O)Cl)c(OC)c%12)C%11=O)cc%10OC)c(OC)c9)C8=O)cc7OC)c(OC)c6)C5=O)cc4OC)c(OC)c3)C2=O)ccc1OCCCO,ester
88Y2TQRmNvFyHvrXhwFMWe,gt4oJBwZjDpPFnTSs7K3c4,Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N)cc5)cc4)c4ccccc4-c4ccccc43)cc2)cc1.O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,"('Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N)cc5)cc4)c4ccccc4-c4ccccc43)cc2)cc1', 'O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1')",[],0,Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(NC(=O)c6ccc(-c7ccc(C(=O)Nc8ccc(Oc9ccc(C%10(c%11ccc(Oc%12ccc(NC(=O)c%13ccc(-c%14ccc(C(=O)Nc%15ccc(Oc%16ccc(C%17(c%18ccc(Oc%19ccc(NC(=O)c%20ccc(-c%21ccc(C(=O)Nc%22ccc(Oc%23ccc(C%24(c%25ccc(Oc%26ccc(NC(=O)c%27ccc(-c%28ccc(C(=O)O)cc%28)cc%27)cc%26)cc%25)c%25ccccc%25-c%25ccccc%25%24)cc%23)cc%22)cc%21)cc%20)cc%19)cc%18)c%18ccccc%18-c%18ccccc%18%17)cc%16)cc%15)cc%14)cc%13)cc%12)cc%11)c%11ccccc%11-c%11ccccc%11%10)cc9)cc8)cc7)cc6)cc5)cc4)c4ccccc4-c4ccccc43)cc2)cc1,amide
88Y2TQRmNvFyHvrXhwFMWe,XkMcmyqk7fCsFtrdbKeqEP,Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N)cc5)cc4)c4ccccc4-c4ccccc43)cc2)cc1.O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,"('Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N)cc5)cc4)c4ccccc4-c4ccccc43)cc2)cc1', 'O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1')",[],1,Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(NC(=O)c6ccc(-c7ccc(C(=O)Nc8ccc(Oc9ccc(C%10(c%11ccc(Oc%12ccc(NC(=O)c%13ccc(-c%14ccc(C(=O)Nc%15ccc(Oc%16ccc(C%17(c%18ccc(Oc%19ccc(NC(=O)c%20ccc(-c%21ccc(C(=O)Nc%22ccc(Oc%23ccc(C%24(c%25ccc(Oc%26ccc(NC(=O)c%27ccc(-c%28ccc(C(=O)O)cc%28)cc%27)cc%26)cc%25)c%25ccccc%25-c%25ccccc%25%24)cc%23)cc%22)cc%21)cc%20)cc%19)cc%18)c%18ccccc%18-c%18ccccc%18%17)cc%16)cc%15)cc%14)cc%13)cc%12)cc%11)c%11ccccc%11-c%11ccccc%11%10)cc9)cc8)cc7)cc6)cc5)cc4)c4ccccc4-c4ccccc43)cc2)cc1,amide
